AlgorithmeDeHachage;NombreDeReduction;TailleDeLaTable;NombreDeMotDePasseACasser;LongueurDeMotDePasse;NombreDeMotDePasseCasser;TempsDeCassage;TempsDeGeneration
SHA-256;2;50000;200;6;68;9.913;24.382
SHA-256;1;50000;200;6;27;9.846;24.682
SHA-256;2;50000;1000;6;311;47.611;24.816
SHA-256;1;50000;1000;6;149;46.406;24.162
SHA-256;2;100000;200;6;102;17.725;101.509
SHA-256;1;100000;200;6;63;17.561;101.485
SHA-256;2;100000;1000;6;534;89.048;102.161
SHA-256;1;100000;1000;6;318;87.517;103.396
SHA-256;2;50000;10000;6;3202;463.799;24.415
SHA-256;2;100000;10000;6;5376;895.36;105.783
SHA-256;1;50000;10000;6;1681;458.268;25.332
SHA-256;1;100000;10000;6;3061;890.747;110.079
MD5;2;100000;200;6;117;13.18;56.116
MD5;2;50000;200;6;68;7.766;12.617
MD5;2;50000;1000;6;331;36.721;12.53
MD5;2;100000;1000;6;491;62.781;51.017
MD5;2;50000;10000;6;3184;361.208;12.751
MD5;2;100000;10000;6;5341;616.589;51.311
MD5;1;50000;200;6;29;7.349;12.833
MD5;1;100000;200;6;57;12.469;52.364
MD5;1;50000;1000;6;165;35.95;14.01
MD5;1;100000;1000;6;303;60.943;50.328
MD5;1;50000;10000;6;1668;350.183;13.169
MD5;1;100000;10000;6;3059;602.285;50.57
SHA-256;2;204;10;6;4;0.064;0.126
